w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
absolute,æbsəluːt,"absolu, pur, complet, ineluctable, illimité, immense",autócrata,"परम~सिद्धांत, I always have a desire for absolutes in this uncertain world.",,"無比, 独立, 絶対的, 揺るぎない, 絶対, 自己完結, 絶対的, 無条件, 絶対, 絶対的, 独立, 絶対, 純粋","absoluuttinen, täydellinen, absoluuttinen, ehdoton, rajoittamaton, absoluuttinen, riippumaton, absoluuttinen, absoluuttinen, ehdoton, ehdottoman varma, absoluuttinen, puhdas","абсолютен, пълен, безусловен, абсолютен, независим, самовластен, чист, без примес",absolutt,,,absolutistický,absoliwt,,,"apsolutan, apsolutni, apsolutni kod, apsolutno, bez primjesa, neograničen, potpun, savršen, čist","korlátlan, feltétlen, abszolút, teljes",completo,absolutus,"absoliutus(is), absoliuti, visiškas, tikras, neabejotinas",,,"absoluto, completo",,"безграничный, беззаветный, бескрайный, беспредельный",,"absolut, komplett, gränslös, hejdlös, obegränsad, oändlig",,"kâmil, tam, halis, sade, saf, mutlak, sonsuz, nihayetsiz, kayıtsız şartsız, (gram.) soyut, mücerret, ki, sisel  değer ölçülerine bağlı olmayan absolute  ceiling (hav.) azami yükseliş haddi absolute pitch (müz.) bir notanın frekansı, bir sesin perdesini ezberden tayin etme kabiliyeti. absolute scale mutlak ölçü. absolute temperature mutlak ısı derecesi (mutlak sıfırdan hesap ederek) absolute zero ısıda mutlak sıfır noktası. absolutely  tamamen, kesin olarak, kati surette. absoluteness  mutlakiyet.",alleenheerskapy
absolutely,æbsəluːtəliː,"absolument, en réalité, sans faute, sûrement, en fait, en vérité, vraiment","enefecto, de veras, en realidad, verdaderamente","पूर्णतः, You are absolutely right.",,絶対,"ehdottomasti, nimenomaan, tottakai",,,,,absolutně,,,,"apsolutno, bezuvjetno, nezavisno, potpuno, samostalno, sasvim",,"davvero, infatti",,"visiškai, absoliučiai, neabejotinai, savarankiškai, neribotai, taip, žinoma",,,"absolutamente, com efeito, de fato, efetivamente, impreterivelmente, infalivelmente, sem falta",,абсолютно,,sannerligen,,,"sowaar, beslis, definitief, darem, rektig, werklik"
absorb,əbsɔːb,"disposer, disposer de, absorber",,"सोखना, Dry sand absorbs water., ग्रहण~करना, His business absorbs his time.",,"負担, 処理, 吸収, 吸う","kantaa, absorboida, imeä, kuluttaa, nielaista, kestää, sietää, imeä, imaista, nielaista, niellä, omaksua, syventyä, uppoutua, imeä, imaista","абсорбирам, поглъщам, гълтам, поглъщам","påta seg, absorbere, utholde, absorbere, oppsluke, oppsluke",,,pohltit,amsugno,,,"apsorbirati, obuzeti, progutati, upiti, usisati, uvući",,disporre,,"sugerti, absorbuoti, patraukti (dėmesį ir pan.), suimti į save, įsiminti, perimti (žinias, mintis ir pan.), amortizuoti (smūgius), sunaudoti (daug lėšų, laiko)",,,"absorver, sorver, empolgar, dispor de, ter à disposição",,,,,,"içine çekmek, içmek, emmek, massetmek, yutmak, işgal etmek, zapt etmek absorbent  içe çekici, alıcı, emici (madde) absorbent cotton hidrofil pamuk. absorption  içe çekme, içme, emme, zihin meşguliyeti, dalgınlık.",
abuse,əbjuːz,"insulter, défaut, abuser, abus, offenser, affront, injure, maltraiter, tourmenter","injuriar, injuria, insulto, ofensa, insultar, ofender, ultrajar","दुर्व्यवहार, Girl child abuse is rampant in the world., अपशब्द, The opposition party hurled abuses on the ruling party., अधिक~दुरुपयोग, There is widespread abuse of energy resources.",,"濫用, 虐待","väärinkäytös, väärinkäyttö, väärinkäyttö, herjaus, solvaus, pahoinpitely, hyväksikäyttö, seksuaalinen väkivalta","обиждам, оскърбявам, изнаси́лвам, злоупотребя́вам","mishandle, skjelle ut, voldta, misbruke",,,nadávky,,,,"grditi, izopačenost, loše postupati, pogrditi, psovanje, psovati, vrijeđanje, vrijeđati, zloraba, zlostavljanje, zlostavljati, zlouporaba, zloupotrijebiti","rontás, gyalázkodás, helytelen alkalmazás, sértés, ócsárlás, szemfényvesztés, mocskolódás, durva bánásmód, nemi erôszak, túlkapás, téves használat, visszaélés, erôszakos nemi közösülés, szabálytalanság, megbecstelenítés, rongálás, jogtalanság, sértô beszéd, félrevezetés, rossz célra való fordítás, helytelen használat, gyalázkodó beszéd, téves alkalmazás","insultare, offendere",catachresis,"piktnaudžiauti, įžeisti, (iš)plūsti, burnoti, užgaulioti, keikti, plūsti, piktnaudžiavimas, įžeidimas, plūdimasis, keiksmas, užgauliojimas, barimas",,,"abuso, injúria, insulto, defeito, desvantagem, inconveniente, abusar, injuriar, insultar, ofender, ultrajar, atormentar, supliciar, torturar",,,,"skällaut, missbruk, missförhållande, förnärma, förölämpa, förolämpning, förnärmelse",,"kötüye kullanma, suiistimal, kötü muamele, zarar, fesat, suç, küfür, sövüp sayma, Irza tecavüz.",ampsmisdryf
academic,ækədemik,"académique, étudiant",estudiante,"उच्च~श्रेणी~का~शिक्षक, Mr.Anand is an academic person.",,"プラトン主義者, 大学生, 学生, 学者","akateeminen, yliopistollinen, akateeminen, akateeminen, teoreettinen",академичен,akademiker,,,akademik,academaidd,,acadúil,"akademski, naučan, naučnik, nerealan, teoretski, univerzitetski","hivatalos, konvencionális, fôiskolai elôadó, egyetemi elôadó, nem gyakorlati, elméleti, akadémiai tag, egyetemi, fôiskolai tanár, fôiskolai, akadémikus, formalista, elvont, akadémiai, hagyományos, tudományos, hivatalosan elfogadott, egyetemi tanár",studente,,"akademinis, universitetinis, akademiškas, akademinis, moksliškas, teorinis, mokslo, mokymo, mąstantis, gabus, dėstytojas, profesorius, mokslininkas",,,"acadêmico, estudante",,"академический, студент, академик",студент,student,,"eğitimle ilgili, ilmi, soyut, mücerret, pratiğe dayanmayan.",student
accent,æksənt,"accentuer, souligner, emphase, accent","acentuar, acento, dejo","स्वर~उच्चारण~करना, His English was slow and heavily accented.",,"なまり, 話し振り, アクセント, 強調, 強音, アクセント, 強勢, 強調, 強音","erityispiirre, murre, korostus, painopiste, pääpaino, ilmaisu, puhe, pilkku, painotus, sävy, äänensävy, aksentti, aksenttimerkki, isku, aksentti, aksenttimerkki, paino, painotus, paino","акцентирам, подчертавам",aksentuere,,,důraz,acen,,,"akcent, isticati, izgovarati, naglasak, naglasiti, naglasne, naglašavanje, podvlačiti","akcentus, hangsúly, hangsúlyjel, kiejtésmód, ékezet","accentare, accento",accentus,"kirtis, akcentas, kirčio ženklas, tarsena, akcentas, svarbiausias/skiriamasis bruožas, kirčiuoti, pabrėžti, akcentuoti",,,"acento, ênfase, sotaque, enfatizar, acentuar",,акцент,,accent,,"aksan, telâffuzda bir heceye  verilen kuvvet, aksan sareti, vurgu, şive, hisleri belirtmek için cümlede belirli  kelime veya hecelerin vurgulandırılması.","aksentueer, beklemtoon, benadruk, aksent"
accept,æksept,"accepter, accueillir, admettre, agréer, recevoir, recueiller","aceptar, admitir, tomar","स्वीकार~करना, The machine only accepts 1 Re. coin.",,"同意, 引き受ける, 承諾, 賛同, 賛成, 堪え忍ぶ, 受け取る, 受け入れる, 受け取る, 受ける, 受理","hyväksyä, ottaa vastaan, vastaanottaa","разбирам, съгласявам се, акцептирам, понасям, прие́ма, прие́мам","akseptere, godta, akseptere, aksepetere, godta, motta, akseptere, motta, ta imot",,,uznávat,derbyn,,"faomh, glac","akceptirati, dopustiti, preuzeti, prihvati, prihvatiti, prihvaćati, prijem, primiti, pristati, usvojiti, uvažiti",,"accettare, accogliere",accipere,"priimti, sutikti, pritarti, pripažinti, būti palankiam",,,"aceitar, acolher, admitir, receber, topar","a accepta, acceptă",принимать,прихватити,tackajatill,,"kabul etmek, almak, icabet etmek, onaylamak, tasdik etmek, razı olmak, anlamak, mana vermek.","aanneem, aanvaar, aksepteer, neem"
acceptable,əkseptəbl,"acceptable, satisfaisant","aceptable, admisible, razonable","स्वीकार्य, A cup of tea would be most acceptable.",,,hyväksyttävä,"допустим, приемлив",antakelig,,,přijatelný,cymeradwy,,,"dopustiv, prihvatljiv, prijatan",elfogadható,accettabile,acceptabilis,"priimtinas, mielas, laukiamas",,,aceitável,,,,,,"kabul olunabilir, makbul be acceptable makbule geçmek.","aanneembaar, aanneemlik, aanvaarbaar, akseptabel"
access,ækses,"accès, assaut, attaque, abord, entrée, impulsion, incitation","acometida, agresión, ataque, entrada, instinto","पहुँच, The only access to the dairy farm is through the fields.",,アクセス,"päästä käsiksi, päästä","достъп, подход, пристъп, достъп","aksessere, få tilgang",,,přístupový,cyrchu,,,"dohvat, dostup, dostupnost, priključni, prilaz, pristup, pristupačnost, pristupiti, prolaz","belépés, hozzáférhetôség, roham, bemenet, dühroham","assalto, attacco",,"praėjimas, priėjimas, prieiga, galimybė/leidimas įeiti/gauti/naudotis, gauti/išrinkti informaciją (iš kompiuterio)",,,"acesso, crise, agressão, ataque, arranco, impulso, acessar","a avea acces la, a aborda",атака,,"anfall, angrepp, attack, entré, inträde",,"giriş, yol, methal, geçit, artma, Çoğalma, (tıb.) nöbet have access  yanına girebilmek, huzura kabul edilmek.","aanval, aandrif"
accident,æksidənt,"accident, sinistre","accidente, desgracia","दुर्घटना, When I was going  to office I saw a car accident.",,"偶然, 事故, 事故, アクシデント","sattuma, vahinko, sattuma, vahinko, ilmenemismuoto, ilmenemismuoto, ilmiasu, onnettomuus, onnettomuus, tapaturma, sattuma","инцидент, катастрофа, ава́рия, злополу́ка, катастро́фа","ulykke, ulykke, uhell, ulykkestilfelle",,,náhoda,damwain,,"taisme, timpiste, tionóisc","nesretan slučaj, nesreća, nezgoda, slučaj, udes","baleset, szerencsétlenség, véletlen","accidente, disgrazia, incidente","accidens, casus","atsitikimas, atvejis, nelaimingas atsitikimas, avarija, katastrofa, atsitiktinumas",,,"acidente, sinistro",,несчастный случай,незгода,"ofall, olycksfall",,"kaza, arıza, (gram)  sarf bölüğü, (fels.) ilinek, âraz, accident  insurance kaza sigortası acciden'tal    kaza eseri olan, arızi, rastlantı eseri olan, tesadüfi, esaslı olmayan, (müz.) armür  dö kle'den sonra tesadüfi olarak gelen  bemol veya diyez. acciden' tally  kazaen, istemiyerek, rasgele, kazara.",ongeluk
accidental,æksidentl,accidentel,,"आकस्मिक, The Inspector made an accidental inspection of the school.",,偶然,"sattumalta, sattumanvarainen",несъществено качество,tilfeldig,,,nahodilý,,,,"pomoćni, slučajan, sporedan","nem lényeges, elôre nem látott, mellék, véletlen, akaratlan, módosító jel, járulékos, mellékes, esetleges, pót",,,"atsitiktinis, antraeilis, neesminis, atsitiktinumas, neesminis/atsitiktinis bruožas",,,"acidental, fortuito",,,,,,,aksidenteel
accidentally,/ˌæksəˈdɛnt(ə)li/,,,"संयोगवश, After many years,I accidently met my classmate.",,"偶然, 誤って, 無意識的","epähuomiossa, erehdyksessä, vahingossa, sattumalta, vahingossa",случа́йно,,,,nahodile,,,,"nenamjerno, slučajno","esetlegesen, véletlenségbôl, véletlenül",,,,,,acidentalmente,,,,,,,
accommodation,əkɔmədeiʃən,"accomodation, arrangement, compromis, construction, disposition, faiblesse de caractère, accommodement, pacte, demeure, domicile, gîte, habitation, logement, logis","acuerdo, arreglo, construcción, convenio, compromiso, alojamiento","आवास, We found accomodation near the railway station itself., समायोजन, Dinosaurs faced accomodation problem to the changing environment.",,"調整, 調節, 宿泊, 設備","sopeutuminen, majoitus, soveltuminen","привикване, приспособяване, жи́лище, кварти́ра, приспособяване",,,,přizpůsobení,,,cónaí,"izravnanje, pogodnosti, prilagođavanje, smještaj, stan, ustupak","elhelyezés, hozzáalkalmazás, alkalmazkodás, helyiség, elszállásolás, lakótér, berendezés","aggiustamento, accomodamento, accordo, patto, compromesso, alloggio, appartamento",atrium,"patalpa, būstas, prieglobstis, patogumas, (buto) patogumai, pri(si)taikymas, suderinimas, su(si)tarimas, (trumpalaikė) paskola, (amer.) vieta (traukinyje ir pan. su aptarnavimu)",,,"acomodação, arranjo, disposição, compromisso, aposento, habitação, morada",,аккорд,,"inredning, boning, bostad",,"uyma, intibak, birinin işini görmeye razı olma, Iütufkarlık, düzen, yerleşme, telif etme, uzlaştırma, ödünç, istikraz. accommodations  yatacak yer, konfor, rahatı sağlayan şartlar accommodation train (ABD) birçok istasyonda duran yolcu treni.","akkommodasie, akkoord, beskikking, afspraak, woning"
accompany,əkʌmpəniː,accompagner,acompañar,"साथ~होना[जाना], I accompanied her to the station., संगत~करना, The singer was accompanied by his friend. ",,"連れ立つ, 付き合う, 付き添う","asua yhdessä, olla seurana, pitää seuraa, olla jonkun kanssa, olla jonkun seuralaisena, olla seurana, säestää","придружавам, съпровождам, придружавам, съпровождам",,,,doprovodit,cydganlyn,,"comóir, tionlaic","biti priložen, biti priložen uz, istodobno, pratiti, priložen, uslijediti",,accompagnare,,"(pa)lydėti, (muz.) akompanuoti",,,"acompanhar, seguir",,сопровождать,пратити,,,"bir kimseye arkadaş olmak, yanında bulunmak, beraberinde gitmek veya gelmek, refakat etmek, rehberlik etmek, (müz.) eşlik etmek, maiyetinde bulunmak, ilâve etmek, eklemek.","akkompanjeer, begelei"
according to,əkɔːdiŋtou,"selon, d'après",,,,"よる, の分だけ","mukaan, suhteessa","според, в съгласие с, съответно",ifølge,,,podle,yn ôl,,,"prema, primjereno, s obzirom, shodno, sukladno, u skladu s","vminek megfelelôen, szerint, vmihez képest",,,pagal,,,"ao longo de, conforme, de acordo com, relativamente a",,,,,,,
account,əkaunt,"facture, faire‐part, renseignement, addition, note, motif, communication, considérer, compte, croire, êtred'avis, penser que, description",registro,"खाता, I have a current credit account in the Central bank., विवरण, He gave an account of his experience in trekking.",,"口座, アカウント, アカウント","laskelmointi, laskenta, luku, tili, selitys, selonteko, selostus, tili, tunnus","сме́тка, обясне́ние, основа́ние, изложе́ние, описа́ние","regning, konto, redegjørelse, forklaring",,,vyúčtování,cyfrif,,"cuntas, creid","bilanca, ceh, dobitak, izvještaj, konačni obračun, konto, korisnički račun, korist, obračun, obračunavanje, obzir, ocjenjivanje, prikaz, priča, procjena, razlog, račun, uzrok, važnost, zapis, zaračunavanje, značaj","jelentés, elôny, elszámolás, kimutatás, számla, beszámoló, elbeszélés, haszon, elszámolási kötelezettség, leírás, fontosság, hó végi elszámolás, jelentôség, számvetés, jegyzék, közlés, beszámolás",spiegare,"causa, credere, opinari","sąskaita, paskyra, ataskaita, faktūra, atsiskaityti (for)",,,"conta, fatura, nota, informação, explicação, comunicação, cálculo, causa, motivo, razão, considerar, refletir, acreditar, crer, julgar, opinar, ser de opinião",cont,"считать, счёт, описание",рачун,"explikation, faktura, nota, betrakta, konto, tro, motiv, anse, tycka, beskrivning",,"hesap, pusula, tarif, beyan, rivayet, hikâye, izahat, önem, ehemmiyet, kıymet, değer, sebep, cihet. account book  hesap defteri. accounts payable (tic.) tediye  olunacak hesaplar accounts receivable  (tic.) tahsil olunacak hesaplar account  rendered (tic.) borçlunun inceleyip ödemesi için ibraz edilen hesap. by all accounts herkesin dediğine göre. call to account cevap istemek, sorguya çekmek. cash account cari hesap. give an account of anlatmak, cevabını vermek, hesabını vermek. give an account of oneself nerede olduğunu ve ne yaptığını söylemek, hesap vermek. joint account müşterek hesap. make no account of saymamak, itibar etmemek. on account of için, hasebiyle, (-den) dolayı. on no account asla, katiyen, hiçbir suretle. pay an account hesabı kapatmak. profit and loss account kar ve zarar hesabı. running account açık hesap. settle an account hesabını görmek, hesaplaşmak.take into account göz önünde tutmak, düşünmek, hesaba katmak.turn to account kullanmak, zayi ekmemek.outstanding account tesviye edilmemiş hesap.",register
account for,əkauntfər,"expliquer, développer",,,,,"tuhota, vastata, aiheuttaa, olla, selittää, selvittää, tilittää",,,,,vysvětlovat,,,,"objasniti, obračunati, protumačiti",,,,,,,"explicar, compor, constituir, estabelecer",,,,,,,
accurate,ækjərət,"ponctuel, précis","preciso, escrupuloso, meticuloso","सही, All his calculations are accurate.",,"正確, 精密","täsmällinen, tarkka, paikkansapitävä, täsmä-","преци́зен, то́чен",,,,přesný,,,,"brižljiv, ispravan, precizan, točan, uredan","szabatos, pontos","esatto, preciso",,"tikslus, kruopštus, taiklus, (tech.) kalibruotas",,,"exato, pontual, certo, exacto, preciso",,аккуратный,,"ackurat, prompt, noga, precis",,"doğru, sahi, tam, ince  accurately  doğru olarak, kusursuz bir  şekilde.","akkuraat, juis, angsvallig"
accurately,/ˈæk.jə.ɹɪt.li/,,,"सही~ढंग~से, The article accurately reflects popular opinion.",,正確,"täsmälleen, tarkalleen, tarkasti, tarkkaan, täsmällisesti",,,,,přesně,,,,,pontosan,,,,,,"exatamente, de forma acurada",,,,,,,
accuse,əkjuːz,"accuser, dénoncer, livrer","acusar, denunciar, delatar","दोष~लगाना, The government was accused of incompetence.",,"問う, 着せる",syyttää,обвиня́вам,beskylde,,,osočit,cyhuddo,,"ciontaigh, cúisigh, gearán, iomardaigh","okriviti, optužiti, tužiti",,"accusare, caricare, denunciare",accusare,(ap)kaltinti (of – kuo),,,"acusar, arguir, criminar, inculpar, delatar, denunciar, culpar",,,,"anklaga, beskylla, skylla",,"suclamak, itham etmek, cürüm isnat etmek accusa'tion  cürüm  isnadı, suçlama, itham, töhmet accused   sanık, maznun.","aankla, aanklaag, aanklae, aanbring, aangee"
achieve,ətʃiːv,"acquérir, aboutir, atteindre, parvenir, remporter, réaliser, confectionner, construire, fabriquer, faire, opérer, poser, accomplir, assurer, remplir","alcanzar, consequir, obtener, procurarse, realizar, cometer, fabricar, hacer, perpetrar","पूरा~करना, She achieved her goal despite setbacks.",,"実現, 達成, 達成","saada aikaan, toteuttaa, saavuttaa, päästä tavoitteeseen/päämäärään","осъществявам, реализирам, достигам, постигам",oppnå,,,dokázat,,,"déanamh, déantús","dostići, ostvare, ostvarit, ostvariti, postignu, postizati, postići, provesti, uspjeti",,"arrivare, commettere, fare, compiere, eseguire","conciliare, pervenire, facere","pasiekti, įgyti, nuveikti, užbaigti, sektis",,,"adquirir, arranjar, obter, abranger, alcançar, atingir, chegar a, tocar, efectivar, efectuar, realizar, fazer, formar, executar, cumprir, desempenhar",,"делать, сделать",,"förvärva, ernå, göra",,"başarmak, yapabilmek, üstesinden gelmek, kazanmak, meydana getirmek muzaffer olmak achievement  başarı, muvaffakiyet, husule getirme, başarma, husule getirilmiş şey. achievement test başarı testi.","behaal, verwerf, bereik, presteer, bedryf, bedrywe, begaan, doen, maak, pleeg, vervaardig"
achievement,ətʃiːvmənt,"action, ouvrage, aboutissement, gain, succès",acción,"उपलब्धि, Computers can be termed as the greatest scientific achievement of the decade.",,"成果, 到達, 成績, 業績, 達成","saavutus, vaakunakilpi","изпълне́ние, постиже́ние, по́двиг",,,,úspěch,cyflawniad,,,"dostignuće, ispunjenje, izvršenje, ostvarenja, ostvarenje, ostvarivanje, ostvarivanje ciljeva, ostvarivati, postignuća, postignuće, postizanja, potpuno oblikovani grb","eredmény, véghezvitel, teljesítmény, tett, teljesítés","azione, successo","actio, actum, factum, successus","pasiekimas, laimėjimas, žygdarbis",,,"conquista, façanha, feito, obra",,акт,"успех, успјех","gärning, handling, dåd, framgång",,,"aksie, daad, sukses"
