id,en,zh,py,vi,vi2
44,Guess what?,猜猜看?,Cāi cāi kàn?,Đoán xem?,đoán xem thấy ?
45,I doubt it,我怀疑。,Wǒ huáiyí.,Tôi nghi ngờ điều đó.,ta hoài nghi .
46,I think so.,我也这么想。,Wǒ yě zhème xiǎng.,Tôi cũng nghĩ vậy.,ta cũng như thế nghĩ .
47,I'm single.,我是单身贵族。,Wǒ shì dānshēn guìzú.,Tôi là một quý tộc độc thân.,ta là độc thân quý tộc .
48,Keep it up!,坚持下去!,Jiānchí xiàqù!,Cứ tiếp tục đi!,kiên trì đi xuống !
49,Let me see.,让我想想。,Ràng wǒ xiǎng xiǎng.,Hãy để tôi suy nghĩ về nó.,để cho ta nghĩ .
50,Never mind.,不要紧。,Bùyàojǐn.,Không quan trọng.,không sao .
51,No problem!,没问题!,Méi wèntí!,Không vấn đề gì!,không sao hết !
52,That's all!,就这样!,Jiù zhèyàng!,Đó là nó!,cứ như vậy !
53,Time is up.,时间快到了。,Shíjiān kuài dàole.,Thời gian sắp đến.,sắp tới lúc rồi .
54,What's new?,有什么新鲜事吗?,Yǒu shén me xīnxiān shì ma?,Có gì mới không?,có cái gì chuyện mới mẻ không ?
55,Count me on,算上我。,Suàn shàng wǒ.,Tính cả tôi.,tính cả ta .
56,Don't worry.,别担心。,Bié dānxīn.,Đừng lo.,đừng lo lắng .
57,Feel better?,好点了吗?,Hǎo diǎnle ma?,Anh thấy khá hơn chưa?,tốt một chút rồi không ?
58,I love you!,我爱你!,Wǒ ài nǐ!,Anh yêu em!,ta yêu ngươi !
59,I'm his fan.,我是他的影迷。,Wǒ shì tā de yǐngmí.,Tôi là một fan hâm mộ của anh ta.,ta là của hắn mê điện ảnh .
60,Is it yours?,这是你的吗?,Zhè shì nǐ de ma?,Cái này là của anh à?,đây là ngươi không ?
61,That's neat.,这很好。,Zhè hěn hǎo.,Điều này là tốt.,cái này rất tốt .
62,Are you sure?,你肯定吗?,Nǐ kěndìng ma?,Anh có chắc về điều đó không?,ngươi khẳng định không ?
63,Do l have to,非做不可吗?,Fēi zuò bùkě ma?,Không thể không làm điều đó?,không thể không làm không ?
64,He is my age.,他和我同岁。,Tā hé wǒ tóng suì.,Anh ấy bằng tuổi tôi.,hắn và ta cùng tuổi .
65,Here you are.,给你。,Gěi nǐ.,Nó dành cho anh.,cho ngươi .
66,No one knows.,没有人知道。,Méiyǒu rén zhīdào.,Không ai biết.,không có ai biết .
67,Take it easy.,别紧张。,Bié jǐnzhāng.,Đừng lo lắng.,đừng căng thẳng .
68,What a pity!,太遗憾了!,Tài yíhànle!,Thật đáng tiếc!,rất tiếc nuối !
69,Any thing else?,还要别的吗?,Hái yào bié de ma?,Còn gì nữa không?,còn muốn cái khác không ?
70,To be careful!,一定要小心!,Yīdìng yào xiǎoxīn!,Hãy cẩn thận!,nhất định phải cẩn thận !
71,Do me a favor?,帮个忙，好吗?,"Bāng gè máng, hǎo ma?",Giúp một tay được không?,"giúp cái bận bịu , có được không ?"
72,Help yourself.,别客气。,Bié kèqì.,Đừng lịch sự.,đừng khách khí .
73,I'm on a diet.,我在节食。,Wǒ zài jiéshí.,Tôi đang ăn kiêng.,ta đang giảm ăn .
74,Keep in Touch.,保持联络。,Bǎochí liánluò.,Giữ liên lạc.,gìn giữ liên lạc .
75,Time is money.,时间就是金钱。,Shíjiān jiùshì jīnqián.,Thời gian là tiền bạc.,thời gian là vàng bạc .
76,Who's calling?,是哪一位?,Shì nǎ yī wèi?,Ai?,là vị nào ?
77,You did right.,你做得对。,Nǐ zuò dé duì.,Anh đã làm đúng.,ngươi làm rất đúng .
78,You set me up!,你出卖我!,Nǐ chūmài wǒ!,Anh đã phản bội tôi!,ngươi bán ta !
79,Can I help you?,我能帮你吗?,Wǒ néng bāng nǐ ma?,Tôi có thể giúp gì cho anh?,ta có thể giúp ngươi không ?
80,Enjoy yourself!,祝你玩得开心!,Zhù nǐ wán dé kāixīn!,Chúc bạn một thời gian tốt!,chúc ngươi chơi đến vui vẻ !
81,Excuse me ，Sir.,先生，对不起。,"Xiānshēng, duìbùqǐ.","Thưa ngài, tôi xin lỗi.","tiên sinh , thật xin lỗi ."
82,Give me a hand!,帮帮我!,Bāng bāng wǒ!,Giúp tôi!,giúp ta một chút !
83,How's it going?,怎么样?,Zěnme yàng?,Thế nào rồi?,thế nào ?
84,I have no idea.,我没有头绪。,Wǒ méiyǒu tóuxù.,Tôi không có đầu mối.,ta không có đầu mối .
85,I just made it!,我做到了!,Wǒ zuò dàole!,Tôi đã làm được!,ta làm được !
86,I'll see to it,我会留意的。,Wǒ huì liúyì de.,Tôi sẽ để ý.,ta lại lưu ý .
87,I'm in a hurry!,我在赶时间!,Wǒ zài gǎn shíjiān!,Tôi đang vội vàng!,ta đang đuổi thời gian !
88,It's her field.,这是她的本行。,Zhè shì tā de běn háng.,Đây là công việc của cô ấy.,đây là nàng nghề chính .
89,It's up to you.,由你决定。,Yóu nǐ juédìng.,Nó tùy thuộc vào bạn.,do ngươi quyết định .
90,Just wonderful!,简直太棒了!,Jiǎnzhí tài bàngle!,Thật tuyệt vời!,quả thực quá tuyệt vời !
91,What about you?,你呢?,Nǐ ne?,Còn anh thì sao?,ngươi đâu ?
92,You owe me one.,你欠我一个人情。,Nǐ qiàn wǒ yīgèrén qíng.,Anh nợ tôi một ân huệ.,ngươi nợ ta một món nợ ân tình .
93,You're welcome.,不客气。,Bù kèqì.,Không khách khí.,không khách khí .
94,Any day will do.,哪一天都行夕,Nǎ yītiān dū xíng xī,Một ngày nào đó cũng có thể đêm,có một ngày đều được tịch
95,Are you kidding?,你在开玩笑吧!,nǐ zài kāiwánxiào ba!,Anh đùa tôi đấy!,ngươi đang nói đùa sao !
96,Congratulations!,祝贺你!,Zhùhè nǐ!,Xin chúc mừng!,chúc mừng ngươi !
97,I can't help it.,我情不自禁。,Wǒ qíngbùzìjīn.,Tôi không thể không làm điều đó.,ta kìm lòng không được .
98,I don't mean it.,我不是故意的。,Wǒ bùshì gùyì de.,Tôi không có ý đó.,ta không phải cố ý .
99,I'll fix you up.,我会帮你打点的。,Wǒ huì bāng nǐ dǎdiǎn de.,Tôi sẽ giúp anh.,ta sẽ giúp ngươi đánh chút .
100,It sounds great!.,听起来很不错。,Tīng qǐlái hěn bùcuò.,Nghe có vẻ tốt.,nghe lên vô cùng không tệ .
101,It's a fine day.,今天是个好天。,Jīntiān shìgè hǎo tiān.,Hôm nay là một ngày tốt lành.,hôm nay là tốt trời .
102,So far，So good.,目前还不错。,Mùqián hái bùcuò.,Hiện tại không tệ lắm.,hiện nay còn không tệ .
103,What time is it?,几点了?,Jǐ diǎnle?,Mấy giờ rồi?,mấy giờ rồi ?
104,You can make it!,你能做到!,Nǐ néng zuò dào!,Bạn có thể làm điều đó!,ngươi có thể làm được !
105,Control yourself!,克制一下!,Kèzhì yì xià!,Kiềm chế đi!,khắc chế một chút !
106,He came by train.,他乘火车来。,Tā chéng huǒchē lái.,Anh ta đến bằng tàu hỏa.,hắn ngồi xe lửa đến .
107,He is ill in bed.,他卧病在床。,Tā wòbìng zài chuáng.,Anh ta bị bệnh trên giường.,hắn bị bệnh liệt giường .
108,He lacks courage.,他缺乏勇气。,Tā quēfá yǒngqì.,Anh ta thiếu can đảm.,hắn khuyết thiếu dũng khí .
109,How's everything?,一切还好吧?,Yīqiè hái hǎo ba?,Mọi chuyện ổn chứ?,tất cả vẫn tốt chứ ?
110,I have no choice.,我别无选择。,Wǒ bié wú xuǎnzé.,Tôi không còn lựa chọn nào khác.,ta không còn lựa chọn .
111,I like ice-cream.,我喜欢吃冰淇淋。,Wǒ xǐhuān chī bīngqílín.,Tôi thích ăn kem.,ta thích ăn kem .
112,I love this game.,我钟爱这项运动。,Wǒ zhōng'ài zhè xiàng yùndòng.,Tôi yêu môn thể thao này.,ta chuông yêu cái này vận động .
113,I'll try my best.,我尽力而为。,Wǒ jìnlì ér wéi.,Tôi đã làm hết sức mình.,ta hết sức mà là .
114,I'm On your side.,我全力支持你。,Wǒ quánlì zhīchí nǐ.,Tôi hoàn toàn ủng hộ bạn.,ta toàn lực ủng hộ ngươi .
115,Long time no see!,好久不见!,Hǎojiǔ bùjiàn!,Lâu lắm rồi không gặp!,rất lâu không thấy !
116,No pain，no gain.,不劳无获。,Bù láo wú huò.,Không làm việc không có kết quả.,không nhọc không lấy được .
117,Well，it depends,噢，这得看情况。,"Ō, zhè dé kàn qíngkuàng.","Ồ, nó phụ thuộc vào tình hình.","a , cái này cần thấy tình huống ."
118,We're all for it.,我们全都同意。,Wǒmen quándōu tóngyì.,Tất cả chúng ta đều đồng ý.,chúng ta tất cả đều đồng ý .
119,What a good deal!,真便宜!,Zhēn piányí!,Nó thực sự rẻ!,thật tiện nghi !
120,What should I do?,我该怎么办？,Wǒ gāi zěnme bàn?,Tôi phải làm gì đây?,ta nên làm cái gì ?
121,You asked for it!,你自讨苦吃!,Nǐ zì tǎo kǔ chī!,Bạn tự làm khổ mình!,ngươi tự mình chuốc lấy cực khổ !
122,You have my word.,我保证。,Wǒ bǎozhèng.,Tôi hứa.,ta bảo đảm .
123,Believe it or not!,信不信由你!,Xìn bùxìn yóu nǐ!,Tin hay không!,có tin hay không là tùy ngươi !
124,Don't count on me.,别指望我。,Bié zhǐwàng wǒ.,Đừng trông cậy vào tôi.,đừng hi vọng ta .
125,Don't fall for it!,别上当!,Bié shàngdàng!,Đừng bị lừa!,đừng lên lúc !
126,Don't let me down.,别让我失望。,Bié ràng wǒ shīwàng.,Đừng làm tôi thất vọng.,đừng khiến ta thất vọng .
127,Easy come easy go.,来得容易，去得快。,"Láidé róngyì, qù dé kuài.",Đến dễ dàng và đi nhanh.,"tới dễ , đi được nhanh ."
128,I beg your pardon.,请你原谅。,Qǐng nǐ yuánliàng.,Xin hãy tha thứ cho tôi.,mời ngươi tha thứ .
129,I beg your pardon?,请您再说一遍 (我没有听清)。,Qǐng nín zàishuō yībiàn (wǒ méiyǒu tīng qīng).,Hãy nói lại lần nữa (tôi không nghe rõ).,xin ngài lặp lại lần nữa ( ta không có nghe tiếng ).
130,I'll be back soon.,我马上回来。,Wǒ mǎshàng huílái.,Tôi sẽ quay lại ngay.,ta lập tức quay về .
131,I'll check it out.,我去查查看。,Wǒ qù chá chákàn.,Tôi sẽ đi kiểm tra.,ta đi dò tra thấy .
132,I t’s a long story.,说来话长。,Shuō lái huà zhǎng.,Nói chuyện dài.,nói rất dài dòng .
133,It’s Sunday today.,今天是星期天。,Jīntiān shì xīngqítiān.,Hôm nay là chủ nhật.,hôm nay là Chủ nhật .
134,Just wait and see!,等着瞧!,Děngzhe qiáo!,Chờ xem!,hãy đợi đấy !
135,Make up your mind.,做个决定吧。,Zuò gè juédìng ba.,Hãy đưa ra quyết định.,làm quyết định đi .
136,That's all I need.,我就要这些。,Wǒ jiù yào zhèxiē.,Tôi muốn cái này.,ta muốn những thứ này .
137,The view is great.,景色多么漂亮!,Jǐngsè duōme piàoliang!,Làm thế nào đẹp phong cảnh!,cảnh sắc cỡ nào xinh đẹp !
138,The wall has ears.,隔墙有耳。,Géqiángyǒu'ěr.,Các bức tường có tai.,tai vách mạch rừng .
139,There comes a bus.,汽车来了。,Qìchē láile.,Chiếc xe đang đến.,ô tô đến rồi .
140,What day is today?,今天星期几?,Jīntiān xīngqí jǐ?,Hôm nay là gì?,hôm nay ngày nào trong tuần ?
141,What do you think?,你怎么认为？,Nǐ zěnme rènwéi?,Anh nghĩ sao?,ngươi sao nhận là ?
142,Who told you that?,谁告诉你的?,Shuí gàosù nǐ de?,Ai đã nói với anh điều đó?,người đó nói cho ngươi ?
143,Who's kicking off?,现在是谁在开球?,Xiànzài shì shuí zài kāi qiú?,Bây giờ ai đang chơi bóng?,bây giờ là ai đang khai cuộc ?
144,Yes，I suppose so.,是的，我也这么认为。,"Shì de, wǒ yě zhème rènwéi.","Vâng, tôi cũng nghĩ vậy.","đúng vậy , ta cũng như thế nhận là ."
145,You can't miss it.,你一定能找到的。,Nǐ yīdìng néng zhǎodào de.,Bạn chắc chắn có thể tìm thấy nó.,ngươi nhất định có thể tìm tới .
146,Any messages for me?,有我的留言吗?,Yǒu wǒ de liúyán ma?,Anh có tin nhắn của tôi không?,có ta bình luận không ?
147,Don't be so modest.,别谦虚了。,Bié qiānxūle.,Đừng khiêm tốn.,chớ khiêm nhường .
148,Don't give me that!,少来这套!,Shǎo lái zhè tào!,Bớt bộ này đi!,ít đến bộ này !
149,He is a smart boy.,他是个小机灵鬼。,Tā shìgè xiǎo jīling guǐ.,Anh ta là một con quỷ thông minh nhỏ.,hắn là tiểu cơ linh quỷ .
150,He is just a child.,他只是个孩子。,Tā zhǐshìgè háizi.,Nó chỉ là một đứa trẻ.,hắn chỉ là cái đứa nhỏ .
151,I can't follow you.,我不懂你说的。,Wǒ bù dǒng nǐ shuō de.,Tôi không hiểu những gì anh nói.,ta không hiểu ngươi nói .
152,I felt sort of ill.,我感觉有点不适。,Wǒ gǎnjué yǒudiǎn bùshì.,Tôi cảm thấy hơi khó chịu.,ta cảm giác có chút khó chịu .
153,I have a good idea!,我有一个好主意。,Wǒ yǒuyīgè hǎo zhǔyì.,Tôi có một ý hay.,ta có một ý kiến hay .
154,It is growing cool.,天气渐渐凉爽起来。,Tiānqì jiànjiàn liángshuǎng qǐlái.,Thời tiết trở nên mát mẻ hơn.,thời tiết dần dần mát mẻ lên .
155,It seems all right.,看来这没问题。,Kàn lái zhè méi wèntí.,Có vẻ như không có vấn đề gì với điều đó.,nhìn tới cái này không sao hết .
156,It's going too far.,太离谱了。,Tài lípǔle.,Nó quá thái quá.,quá bất hợp lí .
157,May I use your pen?,我可以用你的笔吗?,Wǒ kěyǐ yòng nǐ de bǐ ma?,Tôi có thể dùng bút của anh không?,ta có thể dùng ngươi bút không ?
158,She had a bad cold.,她患了重感冒。,Tā huànle zhòng gǎnmào.,Cô ấy bị cảm lạnh nặng.,nàng mắc lại bị cảm .
159,That's a good idea.,这个主意真不错。,Zhège zhǔyì zhēn bùcuò.,Đó là một ý tưởng thực sự tốt.,cái chủ ý này thật không tệ .
160,The answer is zero.,白忙了。,Bái mángle.,Bận rộn.,bạch mang .
161,What does she like?,她喜欢什么?,Tā xǐhuān shénme?,Cô ấy thích gì?,nàng thích gì ?
162,As soon as possible!,越快越好!,Yuè kuài yuè hǎo!,Càng sớm càng tốt!,càng nhanh càng tốt !
163,He can hardly speak.,他几乎说不出话来。,Tā jīhū shuō bu chū huà lái.,Anh ta hầu như không thể nói được.,hắn dường như nói không ra lời .
164,He always talks big.,他总是吹牛。,Tā zǒng shì chuīniú.,Anh ấy luôn khoe khoang.,hắn luôn luôn chém gió .
165,He won an election.,他在选举中获胜。,Tā zài xuǎnjǔ zhōng huòshèng.,Ông đã giành chiến thắng trong cuộc bầu cử.,hắn ở đây tuyển cử trong chiến thắng .
166,I am a football fan.,我是个足球迷。,Wǒ shìgè zúqiú mí.,Tôi là một fan hâm mộ bóng đá.,ta là fan bóng đá .
167,If only I could fly.,要是我能飞就好了。,Yàoshi wǒ néng fēi jiù hǎole.,Giá như tôi có thể bay.,nếu ta có thể bay liền tốt .
168,I'll be right there.,我马上就到。,Wǒ mǎshàng jiù dào.,Tôi sẽ đến ngay.,ta lập tức tới ngay .
169,I'll see you at six.,我六点钟见你。,Wǒ liù diǎn zhōng jiàn nǐ.,Tôi sẽ gặp anh lúc 6 giờ.,ta sáu giờ thấy ngươi .
170,Is it true or false?,这是对的还是错的?,Zhè shì duì de háishì cuò de?,Điều này là đúng hay sai?,đấy là đúng hay là sai ?
171,Just read it for me.,就读给我听好了。,Jiùdú gěi wǒ tīng hǎole.,Chỉ cần đọc nó cho tôi.,học tập nghe kỹ cho ta .
172,Knowledge is power.,知识就是力量。,Zhīshì jiùshì lìliàng.,Kiến thức là sức mạnh.,tri thức đúng thế lực lượng .
173,Move out of my way!,让开!,Ràng kāi!,Tránh ra!,tránh ra !
174,Time is running out.,没时间了。,Méi shíjiānle.,Không có thời gian đ.,không có thời gian .
175,We are good friends.,我们是好朋友。,Wǒmen shì hǎo péngyǒu.,Chúng ta là bạn tốt.,chúng ta là hảo bằng hữu .
176,What's your trouble?,你哪儿不舒服?,Nǐ nǎ'er bú shūfú?,Anh không khỏe ở đâu?,ngươi chỗ nào không thoải mái ?
177,You did fairly well!,你干得相当不错!,Nǐ gàn dé xiāngdāng bùcuò!,Bạn đã làm một công việc khá tốt!,ngươi làm được tương đối không tệ !
178,Clothes make the man.,人要衣装。,Rén yào yīzhuāng.,Con người muốn ăn mặc.,người muốn ăn mặc .
179,Did you miss the bus?,你错过公共汽车了?,Nǐ cuòguò gōnggòng qìchēle?,Anh có lỡ xe buýt không?,ngươi bỏ lỡ xe công cộng ?
180,Don't lose your head.,不要惊慌失措。,Bùyào jīnghuāng shīcuò.,Đừng hoảng sợ.,không nên kinh hoảng thất thố .
181,He can't take a joke.,他开不得玩笑。,Tā kāi bùdé wánxiào.,Anh ta không thể đùa.,hắn không mở ra được trò đùa .
182,He owes my uncle $100.,他欠我叔叔100美元。,Tā qiàn wǒ shūshu 100 měiyuán.,Anh ta nợ chú tôi 100 đô.,hắn thiếu thúc thúc ta 100 USD .
183,How are things going?,事情进展得怎样?,Shìqíng jìnzhǎn dé zěnyàng?,Mọi chuyện thế nào rồi?,sự việc tiến triển được thế nào ?
184,How are you recently?,最近怎么样?,Zuìjìn zěnme yàng?,Gần đây thế nào?,gần đây thế nào ?
185,I know all about it.,我知道有关它的一切。,Wǒ zhīdào yǒuguān tā de yīqiè.,Tôi biết tất cả mọi thứ về nó.,ta hiểu rõ nhốt nó tất cả .
186,It really takes time.,这样太耽误时间了。,Zhèyàng tài dānwù shíjiānle.,Điều này là quá chậm trễ.,như vậy quá chậm trễ thời gian .
187,It's against the law.,这是违法的。,Zhè shì wéifǎ de.,Điều này là bất hợp pháp.,đây là phạm pháp .
188,Love me，love my dog．,(谚语)爱屋及乌。, (Yànyǔ) àiwūjíwū.,(Câu tục ngữ) Nhà tình yêu và Wu.,( ngạn ngữ ) yêu ai yêu cả đường đi .
189,My mouth is watering.,我要流口水了。,Wǒ yào liú kǒushuǐle.,Tôi sẽ chảy nước miếng.,ta phải chảy nước miếng .
190,Speak louder，please.,说话请大声点儿。,Shuōhuà qǐng dà shēng diǎn er.,Làm ơn nói to hơn.,nói chuyện mời lớn tiếng một chút .
191,This boy has no job.,这个男孩没有工作。,Zhège nánhái méiyǒu gōngzuò.,Cậu bé này không có việc làm.,cái này cậu trai không có công việc .
192,This house is my own.,这所房子是我自己的。,Zhè suǒ fángzi shì wǒ zìjǐ de.,Ngôi nhà này là của riêng tôi.,cái này chỗ nhà là ta tự mình .
193,What happened to you?,你怎么了?,Nǐ zěnmeliǎo?,Có chuyện gì với bạn vậy?,ngươi làm sao vậy ?
194,You are just in time.,你来得正是时候。,Nǐ láidé zhèng shìshíhòu.,Bạn đến thời gian.,ngươi tới được đúng vậy lúc .
195,You need to workout.,你需要去运动锻炼一下。,Nǐ xūyào qù yùndòng duànliàn yīxià.,Bạn cần tập thể dục.,ngươi cần phải đi vận động rèn luyện một chút .
196,Your hand feels cold.,你的手摸起来很冷。,Nǐ de shǒu mō qǐlái hěn lěng.,Tay của bạn lạnh.,dấu tay của ngươi lên nói chuyện nhạt nhẽo .
197,Don't be so childish.,别这么孩子气。,Bié zhème háiziqì.,Đừng trẻ con.,đừng như thế tính trẻ con .
198,Don't trust to chance!,不要碰运气。,Bùyào pèng yùnqì.,Đừng chạm vào vận may của bạn.,không nên đụng vận khí .
199,Fasten your seat belt.,系好你的安全带。,Xì hǎo nǐ de ānquán dài.,buộc chặt dây an toàn của bạn.,buộc lại dây an toàn của ngươi .
200,He has a large income.,他有很高的收入。,Tā yǒu hěn gāo de shōurù.,Anh ta có thu nhập cao.,hắn có rất cao thu nhập .
201,He looks very healthy.,他看来很健康。,Tā kàn lái hěn jiànkāng.,Anh ấy trông rất khỏe mạnh.,hắn nhìn tới vô cùng khỏe mạnh .
202,He paused for a reply.,他停下来等着回答。,Tā tíng xiàlái děngzhe huídá.,Anh dừng lại và chờ đợi câu trả lời.,hắn dừng lại đến chờ lấy trả lời .
203,He repaired his house.,他修理了他的房子。,Tā xiūlǐle tā de fángzi.,Anh sửa chữa nhà của mình.,hắn sửa chữa phòng ốc của hắn .
204,He suggested a picnic.,他建议搞一次野餐。,Tā jiànyì gǎo yīcì yěcān.,Ông đề nghị một chuyến dã ngoại một lần.,hắn đề nghị làm một lần bữa ăn dã ngoại .
205,Here's a gift for you.,这里有个礼物送给你。,Zhèlǐ yǒu gè lǐwù sòng gěi nǐ.,Đây là một món quà cho bạn.,ở đây có một lễ vật cho ngươi .
206,How much does it cost?,多少钱?,Duōshǎo qián?,Bao nhiêu?,bao nhiêu tiền ?
207,I caught the last bus.,我赶上了最后一班车。,Wǒ gǎn shàngle zuìhòu yī bānchē.,Tôi bắt kịp với chiếc xe buýt cuối cùng.,ta đuổi kịp cuối cùng ban một xe .
208,I could hardly speak.,我简直说不出话来。,Wǒ jiǎnzhí shuō bu chū huà lái.,Tôi không thể nói.,ta quả thực nói không ra lời .
209,I'll have to try that.,我得试试这么做。,Wǒ dé shì shì zhème zuò.,Tôi phải thử như vậy.,ta phải thử một chút làm như thế .
210,I'm very proud of you.,我为你感到非常骄傲。,Wǒ wèi nǐ gǎndào fēicháng jiāo'ào.,Tôi cảm thấy rất tự hào về bạn.,ta vì ngươi cảm thấy rất kiêu ngạo .
211,It doesn't make sense.,这没有意义 (不合常理)。,Zhè méiyǒuyìyì (bùhé chánglǐ).,Điều này là vô nghĩa (không hợp lý).,cái này không có ý nghĩa ( không hợp với lẽ thường ).
212,Make yourself at home.,请不要拘礼。,Qǐng bùyào jūlǐ.,Xin đừng xếp hàng.,mời đừng có giữ lễ tiết .
213,My car needs washing.,我的车需要洗一洗。,Wǒ de jū xūyào xǐ yī xǐ.,Xe của tôi cần phải được rửa sạch.,xe của ta cần tẩy một chút .
214,None of your business!,与你无关!,Yǔ nǐ wúguān!,Không có gì để làm với bạn!,không có quan hệ gì với ngươi !
215,Not a sound was heard.,一点声音也没有。,Yīdiǎn shēngyīn yě méiyǒu.,Không có âm thanh nào cả.,một chút âm thanh cũng không có .
216,That's always the case.,习以为常了。,Xíyǐwéichángle.,Nó đã quen với nó.,tập mãi thành thói quen .
217,The road divides here.,这条路在这里分岔。,Zhè tiáo lù zài zhèlǐ fēn chà.,Con đường này được chia đôi ở đây.,con đường này tại đây trong mở rộng chi nhánh .
218,Those are watermelons.,那些是西瓜。,Nàxiē shì xīguā.,Đó là dưa hấu.,những kia là dưa hấu .
219,What a nice day it is!,今天天气真好!,Jīntiān tiānqì zhēn hǎo!,Thời tiết hôm nay đẹp!,hôm nay thời tiết thật tốt !
220,What's wrong with you?,你哪里不对劲?,Nǐ nǎlǐ bùduìjìn?,Bạn sai ở đâu?,ngươi là lạ ở chỗ nào ?
221,You are a chicken.,你是个胆小鬼。,Nǐ shìgè dǎnxiǎoguǐ.,Bạn là một con ma can đảm.,ngươi là đồ hèn nhát .
222,A lovely day，isn't it?,好天气，是吗?,"Hǎo tiānqì, shì ma?",Thời tiết tốt phải không?,"thời tiết tốt , là không ?"
223,He is collecting money.,他在筹集资金。,Tā zài chóují zījīn.,Anh ấy đang gây quỹ.,hắn ở đây gom góp tài chính .
224,He was born in New York.,他出生在纽约。,Tā chūshēng zài niǔyuē.,Anh sinh ra ở New York.,hắn sinh ra ở New York .
225,He was not a bit tired.,他一点也不累。,Tā yīdiǎn yě bù lèi.,Anh không mệt mỏi chút nào.,hắn không một chút nào mệt mỏi .
