id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
34,狗,gǒu,dog,chó,1,灰狗跑得很快。,huī gǒu pǎo dehěn kuài,Greyhound can run very fast.,tro chó chạy rất nhanh .
35,汉语,Hàn yǔ,Chinese language,tiếng Trung,1,他也学习汉语。,tā yě xuéxí Hànyǔ,He studies Chinese as well.,hắn cũng học tập tiếng Trung .
36,好,hǎo,"good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness)",hảo,1,很好，谢谢。,hěn hǎo xièxie,"Fine, thanks.","rất tốt , cảm ơn ."
37,喝,hē,"to drink, My goodness!",uống,1,我们喝了一些鸡汤。,wǒmen hē le yīxiē jītāng,We had some chicken soup.,chúng ta uống một ít canh gà .
38,和,hé,"and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn]",và,1,五加三的总和是八。,wǔ jiā sān de zǒnghé shì bā,The sum of 5 and 3 is 8.,cây ngũ gia bì ba tổng cộng là tám .
39,很,hěn,"(adverb of degree), quite, very, awfully",vô cùng,1,很好，谢谢。,hěn hǎo xièxie,"Fine, thanks.","rất tốt , cảm ơn ."
40,后面,hòu mian,"rear, back, behind, later, afterwards",phía sau,1,我们还以为那是最坏的情况呢，可没想到更糟的还在后面。,wǒmen hái yǐwéi nàshi zuì huài de qíngkuàng ne kě méixiǎngdào gèng zāo de hái zài hòumian,"We thought that the situation was as bad as it could be, but worse was to follow.","chúng ta còn lấy là đó là xấu nhất tình huống đâu , thật không nghĩ đến càng hỏng bét còn đang ở phía sau ."
41,回,huí,"to curve, to return, to revolve",về,1,他到十一点才回家。,tā dào shí yīdiǎn cái huíjiā,Not until eleven o'clock did he come home.,hắn đến mười một chút mới về nhà .
42,会,huì,"can, be possible, be able to, will, be likely to, be sure to, to assemble, to meet, to gather, to see, union, group, association",lại,1,你会习惯的。,nǐ huì xíguàn de,You'll get used to it.,ngươi lại thói quen .
43,火车站,huǒ chē zhàn,train station,nhà ga,1,我们决定立刻去火车站。,wǒmen juédìng lìkè qù huǒchēzhàn,We determined to go to the railway station at once.,chúng ta quyết định ngay lập tức đi trạm xe lửa .
44,几,jǐ,"how much, how many, several, a few",mấy,1,我昨天买了好几本书。,wǒ zuótiān mǎi le hǎojǐ běn shū,I bought several books yesterday.,ta hôm qua mua mấy quyển sách .
45,家,jiā,"home, family, classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian",cô,1,向你全家问好。,xiàng nǐ quánjiā wènhǎo,Remember me to your family.,hướng cả nhà ngươi vấn an .
46,叫,jiào,"to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood)",gọi,1,那部影片很叫座。,nà bù yǐngpiàn hěn jiào zuò,That film was a great draw.,vậy bẫu phim nhựa vô cùng ăn khách .
47,今天,jīn tiān,"today, at the present, now",hôm nay,1,我今天的心情不好。,wǒ jīntiān de xīnqíng bùhǎo,I'm feeling blue today.,ta hôm nay trái tim tình không tốt .
48,九,jiǔ,"nine, 9",chín,1,"他们六时来的, 九时走的.",tāmen liù shí lái de jiǔ shí zǒu de,They came at six and went at nine.,"bọn họ sáu giờ tới , chín thời gian đi ."
49,开,kāi,"to open, to start, to turn on, to boil, to write out (a medical prescription), to operate (vehicle), abbr. for 開爾文|开尔文 degrees Kelvin",mở,1,请把门打开。,qǐng bǎmén dǎkāi,"Open the door, please.",xin đem cửa mở ra .
50,看,kàn,"to see, to look at, to read, to watch, to consider, to regard as, to view as, to treat as, to judge, (after repeated verb) to give it a try, depending on (how you're judging), to visit, to call on, to treat (an illness), to look after, Watch out! (for a danger)",thấy,1,我看你不应该。,wǒ kàn nǐ bù yīnggāi,I don't think you ought to.,ta thấy ngươi không nên nên .
51,看见,kàn jiàn,"to see, to catch sight of",trông thấy,1,夜晚我们可以看见星群。,yèwǎn wǒmen kěyǐ kànjiàn xīngqún,We can see the stars at night.,ban đêm chúng ta có thể trông thấy tinh bầy .
52,块,kuài,"lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱",đồng,1,"别都挤在一块儿, 分开坐吧.",bié dōu jǐ zài yīkuàir fēnkāi zuò ba,"Don't all sit together, spread yourselves out.","đừng đều chen đang cùng một chỗ , tách ra ngồi đi ."
53,来,lái,"to come, to arrive, to come round, ever since, next",đến,1,我马上就来。,wǒ mǎshàng jiù lái,I'll be right with you.,ta lập tức tới ngay .
54,老师,lǎo shī,teacher,thầy,1,老师给全班同学作了听写。,lǎoshī gěi quánbān tóngxué zuò le tīngxiě,The teacher dictated to the whole class.,thầy cho toàn bộ đồng học làm nghe viết .
55,了,le,"(modal particle intensifying preceding clause), (completed action marker)",,1,他感冒了。,tā gǎnmào le,He caught a cold.,hắn bị cảm .
56,冷,lěng,cold,lạnh,1,这是一个寒冷的早晨。,zhè shì yī gè hánlěng de zǎochén,It's a chilly morning.,đây là một rét lạnh sáng sớm .
57,里,lǐ,"li (Chinese mile), 500 meters (modern), home, hometown, village, neighborhood, administrative unit",trong,1,那条河长300公里。,nà tiáo hé cháng gōnglǐ,The river is 300 kilometers in length.,cái kia sông dài 300 cây số .
58,零,líng,"zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither",số không,1,我妹妹认为，她能极力说服父亲提高她每月的零用钱。,wǒ mèimei rènwéi tā néng jílì shuōfú fùqīn tígāo tā měiyuè de língyòngqián,My younger sister thinks she can argue Father into increasing her monthly pocket money.,"em gái ta muội nhận là , nàng có thể cực lực thuyết phục bố đề cao nàng mỗi tháng tiền xài vặt ."
59,六,liù,"six, 6",sáu,1,六除以二得三。,liù chúyǐ èr dé sān,Six divided by two is three.,sáu chia cho hai được ba .
60,妈妈,mā ma,"mama, mommy, mother",mama,1,妈妈准备了好吃的东西给我。,māma zhǔnbèi le hǎochī de dōngxi gěi wǒ,Mother has something delicious in store for me.,mama chuẩn bị ăn ngon thứ gì đó cho ta .
61,吗,ma,(question tag),không,1,那吗啡是注射进去的.,nà mǎfēi shì zhùshè jìnqù de,The morphine was administered by injection.,vậy morphine là tiêm vào vào trong .
62,买,mǎi,"to buy, to purchase",mua,1,我想买一个新床单。,wǒ xiǎng mǎi yī gè xīn chuángdān,I want to buy a new bed linen.,ta muốn mua một giường mới đan .
63,猫,māo,cat,mèo,1,小猫喝了牛奶，又洗了脸。,xiǎomāo hē le niúnǎi yòu xǐ le liǎn,The little cat drank its milk and washed its face.,"mèo con uống sữa bò , lại rửa mặt xong ."
64,没,méi,"(negative prefix for verbs), have not, not",không có,1,他的帽子没戴正.,tā de màozi méi dài zhèng,His hat isn't on straight.,cái mũ của hắn không có mang chính .
65,没关系,méi guān xi,it doesn't matter,không sao,1,如果我赶不上火车，那也没关系。,rúguǒ wǒ gǎnbùshàng huǒchē nà yě méiguānxi,It doesn't matter if I miss my train.,"nếu như ta không đuổi kịp xe lửa , vậy cũng không sao ."
66,米饭,mǐ fàn,(cooked) rice,cơm,1,晚饭时他吃了一些米饭。,wǎnfàn shí tā chī le yīxiē mǐfàn,He had some rice for supper.,cơm tối thời gian hắn ăn một ít cơm .
67,明天,míng tiān,tomorrow,ngày mai,1,我明天晚上来.,wǒ míngtiān wǎnshang lái,I'll come round tomorrow evening.,ta trời tối ngày mai đến .
68,名字,míng zi,name (of a person or thing),tên,1,对不起，我忘了你的名字。,wǒmen míngtiān jiāng yīqǐ chī wǔfàn,I'm sorry; I've forgotten your name.,"thật xin lỗi , ta quên ngươi tên ."
69,哪,nǎ,"how, which",cái nào,1,我不知道该从哪里着手。,wǒ bù zhīdào gāi cóng nǎlǐ zhuóshǒu,I don't know where to begin.,ta không biết nên từ nơi nào bắt đầu .
70,那,nà,"that, those, then (in that case), commonly pr.  before a classifier, esp. in Beijing",vậy,1,我知道那种感觉。,wǒ zhīdào nàzhǒng gǎnjué,I know the feeling.,ta biết rồi cái loại cảm giác này .
71,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?', 'And ...?'), particle for inquiring about location ('Where is ...?'), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ('ok?', 'are you with me?'), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation",đâu,1,"我上了当, 还以为他们的玩笑是真的呢.",wǒ shàng liǎodàng hái yǐwéi tāmen de wánxiào shì zhēn de ne,I was hoaxed into believing their story.,"ta bị mắc lừa , còn lấy vì bọn họ trò đùa là thật đâu ."
72,能,néng,"to be able to, to be capable of, ability, capability, able, capable, can possibly, (usually used in the negative) to have the possibility of",có thể,1,我们确信能胜利。,wǒmen quèxìn néng shènglì,We are confident of victory.,chúng ta xác thực tin có thể thắng lợi .
73,你,nǐ,"you (informal, as opposed to courteous 您)",ngươi,1,你干得很好。,nǐ gàn dehěn hǎo,You did a good job.,ngươi làm rất khá .
74,年,nián,year,năm,1,他年近四十。,tā nián jìn sìshí,He is near forty.,năm nào gần bốn mươi .
75,女儿,nǚ ér,daughter,con gái,1,他说服女儿改变主意.,tā shuōfú nǚ'ér gǎibiàn zhǔyi,He persuaded his daughter to change her mind.,hắn thuyết phục con gái thay đổi chủ ý .
76,朋友,péng you,friend,bằng hữu,1,她把我介绍给她的朋友。,tā bǎ wǒ jièshào gěi tā de péngyou,She introduced me to her friend.,nàng đem ta giới thiệu cho nàng bằng hữu .
77,漂亮,piào liang,"pretty, beautiful",xinh đẹp,1,她长成了一位漂亮的女人。,tā cháng chéngle yī wèi piàoliang de nǚrén,She developed into a beautiful woman.,nàng trưởng thành một vị xinh đẹp người phụ nữ .
78,苹果,píng guǒ,apple,quả táo,1,这棵苹果树很少结果。,zhè kē píngguǒ shù hěn shǎo jiéguǒ,The apple tree is seldom fruitful.,cái này khỏa cây táo rất ít kết quả .
79,七,qī,"seven, 7",bảy,1,三的立方是二十七。,sān de lìfāng shì èrshí qī,Three cubed is twenty-seven.,ba lập phương là hai mươi bảy .
80,钱,qián,"coin, money",tiền,1,她把幸福和有钱联想到一起。,tā bǎ xìngfú hé yǒuqián lián xiǎngdào yīqǐ,She associated happiness with having money.,nàng đem hạnh phúc và có tiền liên tưởng đến cùng nơi .
81,前面,qián miàn,"ahead, in front, preceding, above",phía trước,1,黑板在教室的前面。,hēibǎn zài jiàoshì de qiánmiàn,The blackboard is in the front of the classroom.,bảng đen ở phòng học phía trước .
82,请,qǐng,"to ask, to invite, please (do sth), to treat (to a meal etc), to request",mời,1,请把门打开。,qǐng bǎmén dǎkāi,"Open the door, please.",xin đem cửa mở ra .
83,去,qù,"to go, to go to (a place), to cause to go or send (sb), to remove, to get rid of, (when used either before or after a verb) to go in order to do sth, to be apart from in space or time, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation), (of a time or an event etc) just passed or elapsed",đi,1,你应该去看医生。,nǐ yīnggāi qù kàn yīshēng,You should see a doctor.,ngươi nên đi xem bác sĩ .
84,热,rè,"to warm up, to heat up, hot (of weather), heat, fervent",nóng,1,他们热烈地欢迎主席。,tāmen rèliè dì huānyíng zhǔxí,They gave the chairman a tumultuous welcome.,bọn họ nhiệt liệt chào mừng chủ tịch .
85,人,rén,"man, person, people",người,1,老人快步走开了。,lǎorén kuàibù zǒukāi le,The old man set off at a quick trot.,lão nhân bước nhanh đi ra .
86,认识,rèn shi,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition",nhận thức,1,很高兴认识你。,hěn gāoxìng rènshi nǐ,It's nice meeting you.,vô cùng vui vẻ nhận thức ngươi .
87,日,rì,"sun, day, date, day of the month, abbr. for 日本 Japan",ngày,1,日子不好过啊。,rìzi bùhǎo guò ā,Pretty tough day to day.,thời gian không dễ chịu a .
88,三,sān,"three, 3",ba,1,六除以二得三。,liù chúyǐ èr dé sān,Six divided by two is three.,sáu chia cho hai được ba .
89,商店,shāng diàn,"store, shop",cửa hàng,1,孩子们假装开商店玩儿.,háizimen jiǎzhuāng kāi shāngdiàn wánr,The children were playing at keeping shop.,bọn nhỏ làm bộ mở cửa hàng chơi .
90,上,shàng,"on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university)",lên,1,我这就上路。,wǒ zhè jiù shànglù,I'm on my way.,ta cái này liền lên đường .
91,上午,shàng wǔ,morning,buổi sáng,1,他上午十一点才醒。,tā shàngwǔ shí yīdiǎn cái xǐng,He didn't wake up until 11 o'clock in the morning.,hắn buổi sáng mười một chút mới tỉnh .
92,少,shǎo,"few, little, lack",ít,1,我很少听见他讲汉语。,wǒ hěn shǎo tīngjiàn tā jiǎng Hànyǔ,I seldom hear he speaks Chinese.,ta rất ít nghe gặp hắn giảng tiếng Trung .
93,谁,shéi,"who, also pr. [shuí]",người đó,1,这里谁负责？,zhèlǐ shéi fùzé,Who is in charge here?,ở đây người nào chịu trách nhiệm ?
94,什么,shén me,"what?, who?, something, anything",gì,1,这对我没什么差别。,zhè duì wǒ méishénme chābié,It makes no difference to me.,cái này đối ta không có gì sai biệt .
95,十,shí,"ten, 10",mười,1,他年近四十。,tā nián jìn sìshí,He is near forty.,năm nào gần bốn mươi .
96,时候,shí hou,"time, length of time, moment, period",lúc,1,四月是种树的时候。,Sìyuè shì zhòngshù de shíhou,April is the time to plant trees.,tháng tư là trồng cây lúc .
97,是,shì,"is, are, am, yes, to be",là,1,不是我的错。,bùshì wǒ de cuò,It's not my fault.,không phải lỗi của ta .
98,书,shū,"book, letter",sách,1,把这本书给她。,bǎ zhè běn shū gěi tā,Give her the book.,đem quyển sách này cho nàng .
99,水,shuǐ,"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes",nước,1,农作物需要雨水。,nóngzuòwù xūyào Yǔshuǐ,The crops need rain.,cây nông nghiệp cần nước mưa .
100,水果,shuǐ guǒ,fruit,hoa quả,1,宴会上，大家吃掉了好几篮水果。,yànhuì shàng dàjiā chīdiào le hǎojǐ lán shuǐguǒ,Several baskets of fruit were eaten at the party.,"trên yến hội , mọi người ăn hết mấy rổ hoa quả ."
101,睡觉,shuì jiào,"to go to bed, to sleep",đi ngủ,1,除我之外，他们都去睡觉了。,chú wǒ zhīwài tāmen dōu qù shuìjiào le,They all went to sleep except me.,"trừ ta ra , bọn họ đều đi ngủ ."
102,说话,shuō huà,"to speak, to say, to talk, to gossip, to tell stories, talk, word",nói chuyện,1,她在电话中说话不太客气.,tā zài diànhuà zhōng shuōhuà bù tài kèqi,She sounded rather off on the phone.,nàng trong điện thoại nói chuyện không quá khách khí .
103,四,sì,"four, 4",bốn,1,他年近四十。,tā nián jìn sìshí,He is near forty.,năm nào gần bốn mươi .
104,岁,suì,"classifier for years (of age), year, year (of crop harvests)",tuổi,1,他比我大两岁。,tā bǐ wǒ dà liǎng suì,He is my senior by two years.,hắn lớn hơn ta hai tuổi .
105,他,tā,"he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another",hắn,1,他感冒了。,tā gǎnmào le,He caught a cold.,hắn bị cảm .
106,她,tā,she,nàng,1,把这本书给她。,bǎ zhè běn shū gěi tā,Give her the book.,đem quyển sách này cho nàng .
107,太,tài,"highest, greatest, too (much), very, extremely",quá,1,我不太清楚。,wǒ bù tài qīngchu,I'm not really sure.,ta không rõ lắm .
108,天气,tiān qì,weather,thời tiết,1,如果天气好，当然可以。,rúguǒ tiānqì hǎo dāngrán kěyǐ,"Certainly, if the weather is fine.","nếu thời tiết hảo , tất nhiên có thể ."
109,听,tīng,"to listen, to hear, to obey, a can (loanword from English 'tin'), classifier for canned beverages",nghe,1,只剩下一听肉了。,zhǐ shèngxià yī tīng ròu le,There is only one can of meat left.,chỉ còn lại có nghe xong thịt .
110,同学,tóng xué,"to study at the same school, fellow student, classmate",đồng học,1,他胜过他班中的同学。,tā shèngguò tā bān zhòngdì tóngxué,He got the better of his classmates.,hắn thắng qua hắn trong ban đồng học .
111,喂,wèi,to feed,uy,1,饲养员正在喂动物。,sìyǎngyuán zhèngzài wèi dòngwù,The keeper is feeding the animals.,chăn nuôi viên đang uy động vật .
112,我,wǒ,"I, me, my",ta,1,我这就上路。,wǒ zhè jiù shànglù,I'm on my way.,ta cái này liền lên đường .
113,我们,wǒ men,"we, us, ourselves, our",chúng ta,1,我们是六点出发的.,wǒmen shì liù diǎn chūfā de,We started at six.,chúng ta là sáu giờ xuất phát .
114,五,wǔ,"five, 5",năm,1,现在五点差一刻。,xiànzài wǔ diǎn chà yī kè,It is a quarter to five.,bây giờ năm giờ kém một khắc .
115,喜欢,xǐ huan,"to like, to be fond of",thích,1,他喜欢吹牛。,tā xǐhuan chuīniú,He likes to throw the bull.,hắn thích chém gió .
116,下,xià,"down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down",hạ,1,也许下一次吧。,yěxǔ xiàyīcì ba,Maybe some other time.,biết đâu lần tiếp theo đi .
117,下午,xià wǔ,afternoon,buổi chiều,1,我们在下午四点钟喝茶。,wǒmen zài xiàwǔ sì diǎnzhōng hē chá,We have tea at four o'clock in the afternoon.,chúng ta tại xế chiều bốn giờ uống trà .
118,下雨,xià yǔ,"to rain, rainy",trời mưa,1,好像要下雨了。,hǎoxiàng yào xiàyǔ le,It looks as if it is going to rain.,hình như trời muốn mưa .
119,先生,xiān sheng,"teacher, husband, doctor (topolect)",tiên sinh,1,谢谢您，先生。,xièxie nín xiānsheng,"Thank you, sir.","cảm ơn ngài , tiên sinh ."
120,现在,xiàn zài,"now, at present, at the moment, modern, current, nowadays",bây giờ,1,现在五点差一刻。,xiànzài wǔ diǎn chà yī kè,It is a quarter to five.,bây giờ năm giờ kém một khắc .
121,想,xiǎng,"to think, to believe, to suppose, to wish, to want, to miss",nghĩ,1,让我想一想。,ràng wǒ xiǎng yī xiǎng,Let me see.,để cho ta nghĩ một nghĩ .
122,小,xiǎo,"small, tiny, few, young",tiểu,1,马在路上小跑着。,mǎ zài lùshang xiǎo pǎo zhe,The horse trotted down the road.,ngựa trên đường chạy chậm đến .
123,小姐,xiǎo jie,"young lady, miss, (slang) prostitute",cô,1,旅行社的那位小姐告诉我下午一点开门.,lǚxíngshè de nà wèi xiǎojie gàosu wǒ xiàwǔ yīdiǎn kāimén,The lady at the tourist office told me it opened at 1 pm.,cơ quan du lịch vị kia cô nói cho ta biết buổi chiều một ấn mở cửa .
124,些,xiē,"some, few, several, measure word indicating a small amount or small number (greater than 1)",chút ít,1,我们喝了一些鸡汤。,wǒmen hē le yīxiē jītāng,We had some chicken soup.,chúng ta uống một ít canh gà .
125,写,xiě,to write,viết,1,请原谅我的字写得不好。,qǐng yuánliàng wǒ de zì xiě dé bùhǎo,Please excuse my bad handwriting.,mời tha thứ cho ta chữ viết không được khá .
126,谢谢,xiè xie,"to thank, thanks",cảm ơn,1,很好，谢谢。,hěn hǎo xièxie,"Fine, thanks.","rất tốt , cảm ơn ."
127,星期,xīng qī,week,tuần lễ,1,这星期他会很忙。,zhè xīngqī tā huì hěn máng,He is very busy this week.,cái này tuần lễ hắn sẽ rất bận bịu .
128,学生,xué sheng,"student, schoolchild",học sinh,1,那个学生昨天丢了书。,nàge xuésheng zuótiān diū le shū,That student lost his book yesterday.,cái đó học sinh hôm qua vứt đi sách .
129,学习,xué xí,"to learn, to study",học tập,1,他也学习汉语。,tā yě xuéxí Hànyǔ,He studies Chinese as well.,hắn cũng học tập tiếng Trung .
130,学校,xué xiào,school,trường học,1,下周学校复课。,xiàzhōu xuéxiào fùkè,School reopens next week.,cuối tuần trường học nhập học lại lên lớp lại .
131,一,yī,"one, 1, single, a (article), as soon as, entire, whole, all, throughout, 'one' radical in Chinese characters (Kangxi radical 1)",một,1,让我想一想。,ràng wǒ xiǎng yī xiǎng,Let me see.,để cho ta nghĩ một nghĩ .
132,衣服,yī fu,clothes,trang phục,1,她总穿着黑衣服。,tā zǒng chuānzhuó hēi yīfu,She always dresses in black.,nàng vẫn mặc áo đen phục .
133,医生,yī shēng,doctor,bác sĩ,1,你应该去看医生。,nǐ yīnggāi qù kàn yīshēng,You should see a doctor.,ngươi nên đi xem bác sĩ .
134,医院,yī yuàn,hospital,bệnh viện,1,这家医院有二百个床位。,zhè jiā yīyuàn yǒu èr bǎi gè chuángwèi,This hospital has accommodation for 200 patients.,bệnh viện này có hai trăm cái giường ngủ .
